,medical_abstract,condition_name,abstract_token_count
10,"The importance of congenital hypertrophy of the retinal pigment epithelium in familial adenomatous polyposis. We describe a family with familial adenomatous polyposis (FAP) and congenital hypertrophy of the retinal pigment epithelium (RPE). Three of five members with FAP showed flat, well-demarcated, round to oval pigmented patches of congenital hypertrophy of the RPE. We stress the importance of congenital hypertrophy of the RPE as a clinical marker in identifying patients with FAP since they are at risk for cancer. ",general pathological conditions,88
11,"Human papillomavirus in women with vulvar intraepithelial neoplasia III. Untreated cases of vulvar intraepithelial neoplasia (VIN) III may progress to invasive vulvar carcinoma. Tissues from 29 New Zealand women with VIN III were examined for the presence of human papillomavirus (HPV) types 6, 11, 16 and 18 by in situ hybridization and polymerase chain reaction. HPV 16, the only HPV type detected in the lesions, was identified in about half the cases. HPV-positive women were younger than HPV-negative women, and their lesions displayed koilocytosis more often. In four of five cases in which there was a progression to invasive cancer, HPV 16 was detected in both the VIN III and invasive cancer tissue. ",neoplasms,129
12,"Gentamicin iontophoresis in the treatment of bacterial otitis externa in the guinea pig model. Pseudomonas otitis externa is one of the most common infections treated by otolaryngologists. Infections induced in 30 guinea pigs appeared similar to that seen in humans. The ears were then placed into four treatment groups: group A, which received a single cleaning; group B, which received a single cleaning followed by gentamicin drops 4 times daily; group C, which received a single cleaning followed by a single gentamicin iontophoresis treatment; and group D, the control group, which received no treatment. Infections were analyzed by grading edema, purulence, and erythema. An average of 10.2 days was required for control group to return to normal appearance. Groups A, B, and C had mean resolution times of 5.9, 4.7, and 4.3 days, respectively. Gentamicin iontophoresis appears to be promising, with results as good as drop therapy in otitis externa in the guinea pig model. ",general pathological conditions,180
13,"Repeat hepatic resection for primary and metastatic carcinoma of the liver. During the last 15 years, 19 patients underwent repeated hepatic resections for malignant lesions of the liver. The first hepatic resection had been performed four to 40 months earlier for treatment of hepatocellular carcinoma (nine patients) or hepatic metastases (ten patients), eight of which were of colorectal origin. Repeat resection was an extensive hepatectomy in six, a segmentectomy in six and a local excision in seven. In one patient, three wedge resections and, finally, hepatic transplantation were subsequently performed after an initial extended right lobectomy. The operative mortality rate was 5.2 per cent. The three year actuarial survival rate was 64 per cent after the second resection. ",neoplasms,135
14,"Evidence for intraluminal Ca++ regulatory site defect in sarcoplasmic reticulum from malignant hyperthermia pig muscle. Malignant hyperthermia (MH) is a pharmacogenetic disease of humans and various animal species that predisposes to a life-threatening, anesthetic agent-induced syndrome. MH is thought to be a consequence of abnormal, sustained increases in myoplasmic Ca++ and sarcoplasmic reticulum (SR) membranes from MH muscle have been shown to have a Ca++ release channel defect. In the present study we have tested a hypothesis that the abnormal Ca++ release mechanism in MH can be expressed when Ca++ is loaded in the presence of pyrophosphate. SR membrane vesicles isolated from normal and MH pig muscle were loaded with Ca++ in the presence and absence of pyrophosphate until Ca(++)-induced Ca++ release occurred. Under both circumstances the threshold amount of Ca++ loaded until Ca++ release occurred was lower in the SR from MH pig skeletal muscle. This difference in amount of Ca++ preload is not explained by results obtained comparing rates of Ca++ uptake, number of ryanodine binding sites or the amounts of calsequestrin among SR vesicles from MH and normal muscle. We conclude from this study that use of pyrophosphate for Ca++ loading does not ablate the abnormal Ca++ release in SR from MH muscle, suggesting the study can be done on small amounts of SR from biopsied human muscle. The data also suggest that abnormality in an intraluminal, low affinity Ca++ binding site regulating Ca++ release occurs in the SR membrane of MH pig muscle. ",general pathological conditions,269
15,Glutamic acid and gamma-aminobutyric acid neurotransmitters in central control of breathing. We review recent cross-disciplinary experimental and theoretical investigations on metabolism of the amino acid neurotransmitters glutamic acid and gamma-aminobutyric acid (GABA) in the brain during hypoxia and hypercapnia and their possible role in central control of breathing. The roles of classical modifiers of central chemical drive to breathing (H+ and cholinergic mechanisms) are summarized. A brief perspective on the current widespread interest in GABA and glutamate in central control is given. The basic biochemistry of these amino acids and their roles in ammonia and bicarbonate metabolism are discussed. This review further addresses recent work on central respiratory effects of inhibitory GABA and excitatory glutamate. Current understanding of the sites and mechanisms of action of these amino acids on or near the ventral surface of the medulla is reviewed. We focus particularly on tracer kinetic investigations of glutamatergic and GABAergic mechanisms in hypoxia and hypercapnia and their possible role in the ventilatory response to hypoxia. We conclude with some speculative remarks on the critical importance of these investigations and suggest specific directions of research in central mechanisms of respiratory control. ,general pathological conditions,203
16,"A useful technique for measurement of back strength in osteoporotic and elderly patients. Improvement of back extensor strength (BES) can be used as a therapeutic method for patients with chronic back pain and osteoporosis. The method of evaluation must be reliable and accurate without compromising the condition of the patient. We report the development of a back isometric dynamometer (BID-2000) designed specifically by two of us to address these concerns in elderly patients with osteopenia or osteoporosis. As the demographics of the general population change, increasing numbers of patients will need the type of monitoring that the BID-2000 provides. Aging has been shown to cause a reduction in the number of functional muscle motor units. To examine this effect on BES, we tested 50 normal, healthy women who were 30 to 79 years old. Proper testing of BES in patients with fragile vertebrae should include isometric measurement in the prone position, maneuverability of the device to allow comfortable positioning of the patient, and simplicity of technique to minimize repetitious performance of maximal contraction. The BID-2000 incorporates each of these features and also provides meaningful results inexpensively. The device offers a safe, reliable (coefficient of variation = 2.33%), and valid (P = 0.001) method of evaluation. The results of our study demonstrated moderate, steady reduction of BES with increasing age and with each successive decade. ",general pathological conditions,252
17,"The natural history of ultraviolet radiation-induced herpes simplex labialis and response to therapy with peroral and topical formulations of acyclovir. The lips of 196 patients with a history of sun-induced herpes labialis were exposed to experimental ultraviolet radiation (UVR) and treated with acyclovir (ACV) or placebo at different times and by different routes. Of 98 placebo recipients, 39 (40%) developed 43 lesions inside or within 10 mm of the irradiated zone. The temporal distribution of lesions was bimodal. 11 (26%) occurring within 48 h (immediate) and 32 (72%) 2-7 days after UVR exposure (delayed). Prophylactic peroral ACV begun 7 days before or 5 min after UVR prevented the development of the delayed but not the immediate lesions (P less than .001). When peroral ACV was started 48 h after UVR, delayed lesions developed but were less severe (P = .01-.05). Prophylactic topical ACV begun 5 min after UVR did not reduce lesion frequency or severity. ACV therapy can be efficacious, but some rapidly developing lesions are unresponsive to treatment. This suggests that more than one process may contribute to the pathogenesis of herpes labialis. ",general pathological conditions,218
18,"Hereditary internal anal sphincter myopathy causing proctalgia fugax and constipation. A newly identified condition. A newly identified myopathy of the internal anal sphincter is described. In the affected family, at least one member from each of five generations had severe proctalgia fugax; onset was usually in the third to fifth decades of life. Three members of the family have been studied in detail. Each had severe pain intermittently during the day and hourly during the night. Constipation was an associated symptom, in particular difficulty with rectal evacuation. Clinically the internal anal sphincter was thickened and of decreased compliance. The maximum anal canal pressure was usually increased with marked ultraslow wave activity. Anal endosonography confirmed a grossly thickened internal anal sphincter. Two patients were treated by internal anal sphincter strip myectomy; one showed marked improvement and one was relieved of the constipation but had only slight improvement of the pain. The hypertrophied muscle in two of the patients showed unique myopathic changes, consisting of vacuolar changes with periodic acid-Schiff-positive polyglycosan bodies in the smooth muscle fibers and increased endomysial fibrosis. In vitro organ-bath studies showed insensitivity of the muscle to noradrenaline, isoprenaline, carbachol, dimethylpiperazinium, and electrical-field stimulation. Immunohistochemical studies for substance P, calcitonin gene-related peptide, galanin, neuropeptide Y, and vasoactive intestinal peptide showed staining in a similar distribution to that in control tissue. A specific autosomal-dominant inherited myopathy of the internal anal sphincter that causes anal pain and constipation has been identified and characterized. ",nervous system diseases,271
19,"Immune response of peripheral blood mononuclear cells to HBx-antigen of hepatitis B virus. The hepatitis B virus genome encodes a transcriptional transactivator protein designated HBxAg. We have investigated whether this antigen is a target structure for human T-lymphocytes. Using recombinant HBxAg protein, we found HBxAg-specific stimulation of peripheral blood mononuclear cells in patients with acute hepatitis B virus infection (6 of 6) and chronic hepatitis B virus infection (6 of 17) but not in healthy individuals. With HBxAg-specific synthetic polypeptides, several T-cell epitopes were identified. Most were located in the carboxyterminal half of the HBxAg protein. Five T-cell clones specific for a T-cell epitope located at the carboxyterminal region of HBxAg were established and found to belong to the CD2/CD4-positive, CD8-negative subtype. These data establish for the first time HBxAg as an antigen in the cellular immune response. ",general pathological conditions,153
20,"Expression of neural cell adhesion molecule in normal and neoplastic human neuroendocrine tissues. The neural cell adhesion molecule (N-CAM) is a group of cell surface glycoproteins involved in direct cell--cell adhesion. N-CAM expression in normal and neoplastic tissues was examined with specific antibodies and oligonucleotide probes by immunohistochemistry and in situ hybridization. Most neuroendocrine cells and tumors with secretory granules expressed N-CAM protein and mRNA. Parathyroid adenomas (4) were somewhat unusual, because N-CAM mRNA, but not protein, was detected in some of these benign neoplasms. Most non-neuroendocrine cells and tumors did not express N-CAM, although uterine smooth muscle and an adrenal cortical carcinoma were both positive. Western blots disclosed proteins of 180, 140, and 120 kd in normal adult brain, whereas two pheochromocytomas, a null cell adenoma, and a gastrinoma had proteins of approximately 180 and 140 kd. These results indicate that N-CAM protein and mRNA are widely expressed in neuroendocrine cells and neoplasms. N-CAM oligonucleotide probes as well as antibodies against N-CAM can be used as broad-spectrum neuroendocrine markers. In addition, these molecular probes can be used to examine the role of N-CAM in the development and regulation of neuroendocrine tissues. ",nervous system diseases,218
21,"Genetics of cerebrovascular disease. Stroke is a complex disease, with both genetic and environmental factors having a role in its pathogenesis. A review of past studies shows some evidence of genetic influences in the development of stroke. This is supported by studies of cardiovascular disease, which indicate major genetic influences at several levels including the development of risk factors. New approaches to phenotypic classifications, patient ascertainment, and genetic analysis will stimulate research into the role of genetics in cerebrovascular disease. ",nervous system diseases,89
22,"Appraisal of gut lavage in the study of intestinal humoral immunity. Direct investigation of intestinal humoral immunity requires collection of intestinal secretions or mucosal biopsy specimens, or both. A non-invasive technique of gut lavage, with a polyethyleneglycol electrolyte lavage solution as a means of collecting intestinal secretions for immunoglobulin and antibody studies, was evaluated. Fifty patients were studied--25 immunologically normal patients or volunteers, 15 patients with untreated coeliac disease, and 10 patients with active Crohn's disease. Protease inhibitors were added promptly to samples to prevent proteolysis of immunoglobulin content. Treated lavage samples were assayed by enzyme linked immunosorbent assay for immunoglobulin and antibody content. Studies of serial lavage specimens showed that early, faecally contaminated specimens contained negligible quantities of immunoglobulin, but once the specimens became clear a steady state was reached, with little variation in immunoglobulin content between serial specimens and with a uniform dilution (around 20%) of the ingested polyethyleneglycol. Gut lavage fluid IgA was predominantly secretory, comprising 92%, 81.6%, and 76.7% respectively of the total IgA gut lavage fluid content in the control, coeliac, and Crohn's groups. High values of total IgM and IgA and IgM antigliadin antibodies were detected in the coeliac group, and high values of IgG in the Crohn's disease group. This method of gut lavage is not only an effective bowel cleanser, but also a noninvasive means of obtaining intestinal secretions for the study of humoral immunity in gastrointestinal disease. ",digestive system diseases,272
23,"Subsite distribution and incidence of colorectal cancer in New Zealand, 1974-1983. The purpose of this study was to examine changes in subsite distribution and incidence of colorectal cancer within different age groups. Registration of colorectal cancer by the National Cancer Registry of New Zealand approached 100 percent by 1974. The present study was based on 15,395 individuals aged 25 years and over and registered for colorectal cancer between 1974 and 1983. Subsite distribution (right colon, left colon, rectum) for different age groups (25-49, 50-69, 70+ years) was significantly skewed, with an excess of right colonic cancer in individuals aged 25-49 years and 70+ years. This right colonic excess was accompanied by a relative reduction in left colonic cancer. Age adjusted incidence rates for the periods 1974-78 and 1979-83 were compared and stratified by age group and subsite. Incidence rates increased in all subsites in individuals aged 50+ years. This was particularly evident for right sided cancer in the elderly of both sexes. There was a marked reduction in the incidence of left colonic cancer and rectal cancer in individuals under 50 years. In contrast, the incidence of right colonic cancer remained relatively stable in young individuals. Time trend studies indicate that the skewed subsite distribution of large bowel cancer in different age groups may increase with time and is probably due to varying etiological factors acting on different cohorts. ",neoplasms,252
24,"Bolus, front-loaded, and accelerated thrombolytic infusions for myocardial infarction and pulmonary embolism. Thrombolytic therapy decreases mortality in patients with acute myocardial infarction and is now widely used in such patients. The choice of which thrombolytic agent to use in such patients, either streptokinase or recombinant tissue plasminogen activator (rt-PA), is based on regional preferences. The standard dose of streptokinase is 1.5 million units over 60 min, and the dose of rt-PA that is commonly used is 100 mg over 3 h. Experiments in animals have demonstrated that rt-PA produces continuing thrombolysis after it is cleared from the circulation and that thrombolysis is both increased and accelerated and bleeding is reduced when rt-PA is administered over a short time period. Based on these studies, there have been a number of recent trials examining alternative dosage regimens for rt-PA (bolus, front-loaded, and accelerated) in patients with myocardial infarction. To date, there is no convincing evidence that such regimens are superior to the more traditional rt-PA regimen. Future randomized trials will determine whether attempts to optimize rt-PA regimens will result in more efficacious treatment regimens. Interest in the use of thrombolytic therapy for patients with acute pulmonary embolism has been rekindled. The traditional 12- to 24-h regimens of streptokinase and urokinase are not optimal because of their logistic complexity and associated hemorrhagic complications. Clinical studies have demonstrated that rt-PA, 100 mg over 2 h, is an effective thrombolytic agent in patients with acute pulmonary embolism. In a recent double-blind trial in patients with acute pulmonary embolism, rt-PA, 0.6 mg/kg infused over 2 min, improved pulmonary perfusion. This bolus regimen is attractive because it is simple to administer. Future studies will compare the relative efficacy and safety of these two rt-PA regimens in patients with acute pulmonary embolism. ",cardiovascular diseases,325
25,"Effects of site-specific mutations on biologic activities of recombinant human IL-6. To examine structure-activity relationships of human IL-6, we have determined the effects of specific mutations on the biologic activity of a human rIL-6 expressed in bacteria. Three types of mutants were examined: 1) a variant that contains serines in place of the four naturally occurring cysteines; 2) a series of cysteine-containing deletion mutants, each having a single internal 20 amino acid deletion; and 3) a cysteine-free variant containing a single 20 amino acid deletion. The mutants of the second type constitute a set of nonoverlapping, adjacent deletions spanning amino acids 4 through 183 of the 184 amino acids in natural human IL-6. All of the mutants were expressed, along with the full length, cysteine-containing analogue, in Escherichia coli as fusion proteins, joined to beta-galactosidase through a collagen linker. This system allows microgram quantities of the rIL-6 variants to be partially purified from small bacterial cultures without chromatographic or refolding steps. Each of the rIL-6 variants was released from the beta-galactosidase fusion protein with collagenase, and the recovered rIL-6 was quantitated by laser densitometry of Coomassie-stained, SDS polyacrylamide gels. The sp. ac. of each of the rIL-6 variants was determined using four assays: induction of IgM secretion from an EBV transformed human B cell line, induction of fibrinogen secretion from a human hepatoma cell line, induction of fibrinogen secretion from a rat hepatoma cell line, and induction of proliferation of a murine hybridoma cell line. Replacement of cysteines with serines reduced activity relative to cysteine-containing rIL-6 to about 20% in the rat hepatoma assay and about 3% in the mouse hybridoma assay, whereas activity in both of the human cell lines was reduced to less than 0.1%. These data suggest that the murine and rat cell lines are less selective than the human cell lines in their requirements for recognition of biologically active IL-6. Each of the deletions, except that of amino acids 4 through 23, resulted in loss of activity in all four assays. These results suggest that the information necessary for activity is not contained within any one portion of the IL-6 molecule, but rather that multiple segments of the protein are required for each of the biologic activities that we tested. ",general pathological conditions,414
26,"Prophylactic sclerotherapy for esophageal varices: long-term results of a single-center trial. Survival after prophylactic sclerotherapy was assessed in a single-center study involving 99 cirrhotic (41 alcoholic) patients enrolled over 8-yr. The wedged hepatic vein pressure gradient was measured; those with pressure greater than or equal to 12 mm Hg were randomized to receive sclerotherapy or no treatment. The rest were not randomized. Patients in all three groups who bled were treated with emergency endoscopy and sclerotherapy. Stratification according to presence of ascites was also undertaken. Median follow-up was 61 mo (range = 14 to 107 mo). Survival among unrandomized patients was significantly longer than among randomized patients (p less than 0.006), but there was no significant difference between those treated by sclerotherapy and the controls (p = 0.27). Alcoholic cirrhotic patients undergoing sclerotherapy had better 2-yr survival than did the controls (80% vs. 43%; p = 0.09), but this benefit was not sustained at 5 yr. Survival in the nonalcoholic patient groups was identical. Only 10 of 50 deaths were caused by variceal bleeding. Forty-eight percent of patients with large varices bled, compared with 20% of patients with small varices. Wedged hepatic vein pressure less than 12 mm Hg accurately identified alcoholic patients at low risk of variceal bleeding but not nonalcoholic patients. Only four episodes of variceal bleeding were attributable to elective sclerotherapy. We conclude that in our population, prophylactic sclerotherapy alone does not improve survival. The discrepancy in survival between alcoholic and nonalcoholic cirrhotic patients suggests that factors other than variceal hemorrhage may be responsible for the difference. ",digestive system diseases,296
27,A case of cerebrotendinous xanthomatosis. II: The sterol content of a cataractous lens. The cholestanol content of a cataractous lens nucleus from a patient with cerebrotendinous xanthomatosis (CTX) was quantified by gas chromatography-mass spectrometry and found to be 0.27 micrograms per mg freeze-dried lens tissue. The cholestanol-cholesterol ratio of 1.7% in the lens nucleus was similar to that in the serum of the CTX patient. The cholestanol content and cholestanol-cholesterol ratio in the CTX lens were approximately four-fold and six-fold greater respectively than the mean levels found in three senile cataractous lens nuclei analysed simultaneously for comparative purposes. ,nervous system diseases,107
28,"Idiopathic intracranial hypertension without papilledema. We describe 10 patients with idiopathic intracranial hypertension who did not have papilledema. Idiopathic intracranial hypertension without papilledema, although rarely reported, may well be a clinically important headache syndrome. Historical and demographic features of patients with idiopathic intracranial hypertension without papilledema are similar to those of patients with papilledema. Obese women with chronic daily headache and symptoms of increased intracranial pressure, pulsatile tinnitus, history of head trauma or meningitis, an empty sella on imaging studies, or a headache that is unrelieved by standard therapy should have a diagnostic lumbar puncture. Findings from laboratory and neurologic investigations are normal in most patients with idiopathic intracranial hypertension without papilledema. Initial management should include removal of possible inciting agents, weight loss if applicable, and standard headache therapy. Lumbar puncture and diuretic therapy should precede a trial of corticosteroids. Surgery (lumboperitoneal or ventriculoperitoneal shunt or perhaps optic nerve sheath fenestration) may be indicated for prolonged incapacitating headache that is not responsive to medical management or lumbar puncture. ",nervous system diseases,187
