,Text,Label
49,"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",ADE-related
50,"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",ADE-related
51,Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,ADE-related
52,Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,ADE-related
53,Hair loss associated with paroxetine treatment: a case report.,ADE-related
54,We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,ADE-related
55,"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",ADE-related
56,"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",ADE-related
57,"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",ADE-related
58,Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.,ADE-related
59,Protamine allergy as a complication of insulin hypersensitivity: A case report.,ADE-related
60,She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,ADE-related
61,"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",ADE-related
62,A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,ADE-related
63,An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,ADE-related
64,Apparent central nervous system depression in infants after the use of topical brimonidine.,ADE-related
65,CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,ADE-related
66,PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,ADE-related
67,Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ADE-related
68,Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,ADE-related
69,Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,ADE-related
70,Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,ADE-related
71,"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",ADE-related
72,"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",ADE-related
73,"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.",ADE-related
74,We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,ADE-related
75,We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,ADE-related
76,An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,ADE-related
77,The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,ADE-related
78,This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,ADE-related
79,"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",ADE-related
80,Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,ADE-related
81,The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,ADE-related
82,"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",ADE-related
83,"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",ADE-related
84,"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",ADE-related
85,Paradoxical seizures in phenytoin toxicity.,ADE-related
86,"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",ADE-related
87,CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,ADE-related
88,Losartan-induced angioedema.,ADE-related
89,OBJECTIVE: To report a case of angioedema associated with losartan administration.,ADE-related
90,"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",ADE-related
91,We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,ADE-related
92,Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,ADE-related
93,Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,ADE-related
94,"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.",ADE-related
95,We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,ADE-related
96,Taxane-induced glaucoma.,ADE-related
97,We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,ADE-related
98,Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,ADE-related
99,We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,ADE-related
100,Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,ADE-related
101,We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,ADE-related
102,Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,ADE-related
103,"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",ADE-related
104,Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,ADE-related
105,In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.,ADE-related
106,These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,ADE-related
107,A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,ADE-related
108,Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,ADE-related
109,This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,ADE-related
110,Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.,ADE-related
111,Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,ADE-related
112,The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,ADE-related
113,The relationship between infliximab treatment and lymphoma in Crohn's disease.,ADE-related
114,The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,ADE-related
115,We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.,ADE-related
116,Codeine intoxication in the neonate.,ADE-related
117,"We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.",ADE-related
118,Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,ADE-related
119,"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",ADE-related
120,Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,ADE-related
121,"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",ADE-related
122,We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.,ADE-related
123,"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",ADE-related
124,"A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.",ADE-related
125,After abstinence from oolong tea his delirium resolved.,ADE-related
126,Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,ADE-related
127,"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",ADE-related
128,The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,ADE-related
129,"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",ADE-related
130,"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",ADE-related
131,We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.,ADE-related
132,Elevated serum triglycerides with clozapine resolved with risperidone in four patients.,ADE-related
133,In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.,ADE-related
134,This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.,ADE-related
135,Intravenous valproate associated with significant hypotension in the treatment of status epilepticus.,ADE-related
136,"To our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population.",ADE-related
137,We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.,ADE-related
138,In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,ADE-related
139,A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.,ADE-related
140,"Salicylate intoxication was excluded, and theophylline was finally incriminated.",ADE-related
141,Theophylline intoxication mimicking diabetic ketoacidosis in a child.,ADE-related
142,"This compound, used by adults in the child's home, had caused accidental theophylline poisoning, mimicking diabetic ketoacidosis.",ADE-related
143,Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature.,ADE-related
144,Ten to 15% of patients treated with ifosfamide develop an encephalopathy.,ADE-related
145,We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.,ADE-related
146,Portal vein thrombosis in a patient with severe haemophilia A and F V G1691A mutation during continuous infusion of F VIII after intramural jejunal bleeding--successful thrombolysis under heparin therapy.,ADE-related
147,We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.,ADE-related
148,A 60-year-old woman with diabetes mellitus (type 2) developed an acute icteric hepatitis-like illness 6 weeks after the initiation of gliclazide therapy.,ADE-related
149,Gliclazide-induced acute hepatitis.,ADE-related
150,"In conclusion, this case strongly suggests that gliclazide can induce acute icteric liver necro-inflammation which may be misdiagnosed clinically as acute viral hepatitis.",ADE-related
151,We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.,ADE-related
152,"We describe the case of acute hepatitis induced by gliclazide, a second generation sulfonylurea.",ADE-related
153,"Caution is, therefore, needed to prevent undesired accumulation of TCA that may lead to protracted Cushing's syndrome.",ADE-related
154,Cushing's syndrome persisted more than 6 months while TCA concentrations remained detectable for at least 80 days.,ADE-related
155,"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).",ADE-related
156,"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",ADE-related
157,Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.,ADE-related
158,"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",ADE-related
159,The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.,ADE-related
160,The spectrum of nitrofurantoin lung injury continues to widen.,ADE-related
161,The two middle aged women presented with respiratory symptoms after prolonged treatment with nitrofurantoin.,ADE-related
162,"We suggest that the previous classification of nitrofurantoin induced lung injury into ""acute"" and ""chronic"" injury is an oversimplification in view of the wide variety of pathological entities that have subsequently emerged.",ADE-related
163,Intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha.,ADE-related
164,The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,ADE-related
165,Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.,ADE-related
166,The development of erythroid leukemia plus carcinoma in these two men suggests mutagenic change secondary to cyclophosphamide therapy.,ADE-related
167,"Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.",ADE-related
168,This is the first report of UFT-induced scleroderma-like reaction.,ADE-related
169,We report a case of a scleroderma-like reaction induced by long-term administration of UFT.,ADE-related
170,Central nervous system manifestations of an ibuprofen overdose reversed by naloxone.,ADE-related
171,"Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.",ADE-related
172,"Presently, treatment of acute ibuprofen intoxication with complications requires supportive therapy until the symptoms resolve over 24 to 48 hours.",ADE-related
173,We report the case of an 11-month-old female infant with a depressed level of consciousness after ingestion of ibuprofen whose mental status markedly improved with administration of naloxone.,ADE-related
174,Flecainide-associated pneumonitis with acute respiratory failure in a patient with the LEOPARD syndrome.,ADE-related
175,"Flecainide is a rare cause of hypersensitivity pneumonitis, and few cases have been reported.",ADE-related
176,"We describe a case of interstitial hypoxaemiant pneumonitis probably related to flecainide in a patient with the LEOPARD syndrome, a rare congenital disorder.",ADE-related
177,Sagittal sinus thrombosis associated with transient free protein S deficiency after L-asparaginase treatment: case report and review of the literature.,ADE-related
178,We report the case of an adult patient with acute lymphoblastic leukemia who presented with repeated transient ischemic attacks followed by a seizure during consolidation treatment with L-asparaginase.,ADE-related
179,We report on a young adolescent with benign intracranial hypertension which we attribute to the use of minocycline for acne.,ADE-related
180,We report 2 patients who developed polyarteritis nodosa following vaccination against hepatitis B.,ADE-related
181,"In this case, it was suspected that a combination of cigarette smoking, pulmonary fibrosis, and low-dose methotrexate therapy might have promoted the development of lung cancer.",ADE-related
182,This case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 French coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm.,ADE-related
183,"However, as illustrated by these and other cases reported to date, the onset of troglitazone-induced liver injury is insidious and temporally variable.",ADE-related
184,It remains to be seen whether the hepatotoxicity associated with troglitazone is a drug-class effect or specific to troglitazone.,ADE-related
185,Other thiazolidinediones currently in clinical trials may be able to provide the therapeutic benefits of troglitazone without significant hepatotoxicity.,ADE-related
186,The three reported cases demonstrate that troglitazone is an idiosyncratic hepatotoxin that can lead to irreversible liver injury.,ADE-related
187,Troglitazone-induced fulminant hepatic failure.,ADE-related
188,Nitrofurantoin-induced lung disease: two cases demonstrating resolution of apparently irreversible CT abnormalities.,ADE-related
189,"We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.",ADE-related
190,Fluoxetine-related death in a child with cytochrome P-450 2D6 genetic deficiency.,ADE-related
191,The medical examiner's report indicated death caused by fluoxetine toxicity.,ADE-related
192,This is the first report of a fluoxetine-related death in a child with a confirmed genetic polymorphism of the CYP2D6 gene that results in impaired drug metabolism.,ADE-related
193,"A 50-year-old woman with a history of migraine without aura, predominantly occurring around her menstrual periods, developed a spinal cord lesion following the use of zolmitriptan.",ADE-related
194,Spinal cord infarction during use of zolmitriptan: a case report.,ADE-related
195,The temporal relationship suggests that the spinal cord infarction may be related to the use of zolmitriptan.,ADE-related
196,CASE SUMMARY: A 10-year-old white girl with bilateral optic glioma developed a hypersensitivity reaction to carboplatin after nine courses.,ADE-related
197,This regimen could prove useful for other patients who develop hypersensitivity reactions to carboplatin and allow therapy to continue.,ADE-related
198,Perinatal vasoconstrictive renal insufficiency associated with maternal nimesulide use.,ADE-related
199,This is the first report of an adverse effect of fetal renal circulation by maternal ingestion of nimesulide.,ADE-related
200,"Although the t-AML developed following oral etoposide therapy, the child had previously received high-dose, multiagent chemotherapy, and rearrangement of the MLL gene was not demonstrated.",ADE-related
201,Secondary leukemia in a child with neuroblastoma while on oral etoposide: what is the cause?,ADE-related
202,"The authors present a case of t-AML that developed in a child with metastatic neuroblastoma 18 months after he received oral etoposide, given for palliation purpose.",ADE-related
203,"BACKGROUND: Cyanamide, an aversive agent widely used in Japan, is known to induce various degrees of hepatic lesion with ground-glass inclusion bodies.",ADE-related
204,Case 2: A 43-year-old male alcoholic remained completely abstinent with cyanamide treatment for 5 years and complained of general fatigue.,ADE-related
205,Case 3: A 29-year-old female alcoholic complained of general fatigue and a slight fever after 1.5 years of abstinence with cyanamide treatment.,ADE-related
206,Case 4: A 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.,ADE-related
207,"CONCLUSION: In some abstainers who take cyanamide for several years, thin septum-like liver fibrosis progresses along with the emergence of ground-glass hepatocytes.",ADE-related
208,Cyanamide-induced liver dysfunction after abstinence in alcoholics: a long-term follow-up study on four cases.,ADE-related
209,"When cyanamide-treated alcoholics relapse into drinking, more severe inflammation develops in the liver.",ADE-related
210,A patient with an allergy to a macrolide antibiotic was given tacrolimus and developed a sudden cutaneous reaction.,ADE-related
211,A 77-year-old woman with no history of epilepsy presented a probable nonconvulsive status epilepticus while receiving continuous intravenous morphine for back pain relating to vertebral metastasis of a malignant lymphoma.,ADE-related
212,A generalized tonic-clonic seizure occurred a few minutes after injection of the morphine antagonist naloxone.,ADE-related
213,Nonconvulsive status epilepticus: the role of morphine and its antagonist.,ADE-related
214,Spontaneous bacterial peritonitis induced by intraarterial vasopressin therapy.,ADE-related
215,"Although the literature on the use of risperidone in elderly patients with dementia consists largely of uncontrolled trials, case reports, and chart reviews, it appears that this agent is effective for managing agitation in this population and does so with a low frequency of extrapyramidal symptoms (EPS).",ADE-related
216,"Three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the CHOP regimen.",ADE-related
217,"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.",ADE-related
218,"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",ADE-related
219,A case of normotensive scleroderma renal crisis after high-dose methylprednisolone treatment.,ADE-related
220,HUS has been reported after several anticancer chemotherapies and most often after mitomycin C-based chemotherapy regimens.,ADE-related
221,Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.,ADE-related
222,"We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.",ADE-related
223,"An evaluation of ovarian structure and function should be considered in women of reproductive age being treated with valproate for epilepsy, especially if they develop menstrual cycle disturbances during treatment.",ADE-related
224,"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",ADE-related
225,CONCLUSIONS: The 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.,ADE-related
226,OBJECTIVE: To describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.,ADE-related
227,PATIENTS: Three patients developed a reproductive endocrine disorder during treatment with valproate.,ADE-related
228,RESULTS: Replacing valproate with lamotrigine resulted in a decrease in serum testosterone concentrations in all 3 women.,ADE-related
229,"The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.",ADE-related
230,"However, recurrent staphylococcus aureus sepsis developed during CyA therapy.",ADE-related
231,Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.,ADE-related
232,A 60 year-old woman with chronic renal failure developed acute proximal muscle weakness after receiving a regular dosage of colchicine.,ADE-related
233,Colchicine-induced myopathy in renal failure.,ADE-related
234,Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.,ADE-related
235,A third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.,ADE-related
236,Phantom limb pain as a manifestation of paclitaxel neurotoxicity.,ADE-related
237,Physicians should be aware that PLP can occur after initiation of paclitaxel.,ADE-related
238,We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.,ADE-related
239,Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.,ADE-related
240,Our experience supports hemodialysis for ESRF patients with atenolol toxicity.,ADE-related
241,Allergic reaction to gemfibrozil manifesting as eosinophilic gastroenteritis.,ADE-related
242,We describe a case of EGE manifested as an allergy to gemfibrozil.,ADE-related
243,This is the second report of lactic acidosis in a patient on stavudine and lamivudine.,ADE-related
244,We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.,ADE-related
245,"Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.",ADE-related
246,A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.,ADE-related
247,Propafenone-induced ataxia: report of three cases.,ADE-related
248,We describe 3 elderly patients with moderate to severe ataxia that occurred while they were taking propafenone.,ADE-related
